City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,38.14,97,99,6.49,AR,1704701173
1,whitehorse,60.7161,-135.0538,6.03,82,100,21.85,CA,1704701237
2,longyearbyen,78.2186,15.6401,6.64,72,75,12.66,SJ,1704701246
3,waitangi,-43.9535,-176.5597,55.81,82,17,1.01,NZ,1704701397
4,yellowknife,62.456,-114.3525,-30.71,99,96,4.72,CA,1704701398
5,qaqortoq,60.7167,-46.0333,33.82,77,100,8.77,GL,1704701399
6,tofol,5.3248,163.0078,82.47,80,47,21.27,FM,1704701400
7,isafjordur,66.0755,-23.124,48.24,76,75,8.05,IS,1704701402
8,paracuru,-3.41,-39.0306,82.11,82,100,7.83,BR,1704701403
9,lompoc,34.6391,-120.4579,44.69,73,0,4.61,US,1704701404
10,port mathurin,-19.6833,63.4167,81.75,70,99,8.88,MU,1704701405
11,port-aux-francais,-49.35,70.2167,46.31,94,72,36.57,TF,1704701392
12,oamaru,-45.0784,170.9801,58.37,89,88,6.71,NZ,1704701407
13,puerto natales,-51.7236,-72.4875,38.82,90,91,8.86,CL,1704701409
14,santa maria do suacui,-18.1903,-42.4142,70.21,99,100,1.77,BR,1704701410
15,invercargill,-46.4,168.35,63.01,76,94,3.0,NZ,1704701192
16,badger,64.8,-147.5333,17.98,83,20,0.0,US,1704701412
17,kamaishi,39.2667,141.8833,32.04,50,2,7.94,JP,1704701125
18,nakamura,32.9833,132.9333,43.0,59,0,0.83,JP,1704701207
19,georgetown,5.4112,100.3354,91.33,58,20,9.22,MY,1704701385
20,petropavlovsk-kamchatsky,53.0452,158.6483,3.45,82,11,10.0,RU,1704701415
21,otjimbingwe,-22.35,16.1333,82.6,20,96,4.56,NA,1704701416
22,alice springs,-23.7,133.8833,92.75,38,63,17.65,AU,1704701418
23,teofilo otoni,-17.8575,-41.5053,71.58,99,100,2.19,BR,1704701419
24,mabaruma,8.2,-59.7833,69.98,87,63,2.44,GY,1704701420
25,vilyuysk,63.7553,121.6247,-27.0,97,100,4.0,RU,1704701420
26,blackmans bay,-43.0167,147.3167,60.73,77,100,1.01,AU,1704701422
27,howrah,22.5892,88.3103,75.2,64,1,6.91,IN,1704701317
28,adamstown,-25.066,-130.1015,74.01,79,100,12.19,PN,1704701424
29,hamilton,39.1834,-84.5333,36.37,89,100,4.61,US,1704701425
30,salalah,17.0151,54.0924,80.69,32,0,18.41,OM,1704701426
31,bethel,41.3712,-73.414,34.75,80,100,4.61,US,1704701427
32,ilulissat,69.2167,-51.1,17.62,62,100,19.57,GL,1704701428
33,albany,42.6001,-73.9662,28.56,80,17,3.0,US,1704701429
34,antsiranana,-12.2787,49.2917,85.44,73,99,3.58,MG,1704701203
35,wewak,-3.5534,143.6268,83.25,77,99,9.46,PG,1704701132
36,enewetak,11.3474,162.3373,80.89,72,98,20.0,MH,1704701431
37,puerto ayora,-0.7393,-90.3518,76.55,96,100,5.99,EC,1704701432
38,al jawf,29.5,38.75,68.13,39,1,8.52,SA,1704701433
39,arraial do cabo,-22.9661,-42.0278,75.06,87,100,18.07,BR,1704701434
40,puerto aysen,-45.4,-72.7,41.11,99,56,4.14,CL,1704701435
41,kirakira,-10.4544,161.9205,81.54,83,59,3.71,SB,1704701243
42,ivanivka,46.7208,34.553,33.91,82,100,16.87,UA,1704701437
43,dengzhou,37.8086,120.7508,36.77,43,0,7.05,CN,1704701438
44,lihue,21.9789,-159.3672,71.19,85,100,8.05,US,1704701439
45,merizo village,13.2658,144.6691,82.98,84,26,16.11,GU,1704701440
46,punta arenas,-53.15,-70.9167,46.51,66,0,21.85,CL,1704701441
47,dabhoi,22.1833,73.4333,78.73,33,7,1.3,IN,1704701226
48,talara,-4.5772,-81.2719,75.61,75,100,12.26,PE,1704701442
49,grytviken,-54.2811,-36.5092,39.29,87,24,3.51,GS,1704701198
50,vorgashor,67.5833,63.95,-17.57,100,100,3.24,RU,1704701445
51,hawaiian paradise park,19.5933,-154.9731,71.04,97,75,1.01,US,1704701445
52,fortuna,40.5982,-124.1573,42.66,95,100,9.22,US,1704701446
53,hithadhoo,-0.6,73.0833,82.67,76,31,11.7,MV,1704701447
54,ceres,37.5949,-120.9577,44.92,77,0,8.05,US,1704701448
55,edinburgh of the seven seas,-37.0676,-12.3116,61.25,86,100,17.13,SH,1704701449
56,wailua homesteads,22.0669,-159.378,70.59,89,100,8.05,US,1704701450
57,ribeira grande,38.5167,-28.7,61.2,63,75,14.0,PT,1704701234
58,cururupu,-1.8283,-44.8683,75.31,93,100,2.93,BR,1704701452
59,kolonia town,6.964,158.206,86.0,66,75,11.18,FM,1704701452
60,iqaluit,63.7506,-68.5145,-20.54,87,26,5.95,CA,1704701453
61,east london,-33.0153,27.9116,67.14,94,75,6.91,ZA,1704701455
62,banjar,-8.19,114.9675,81.16,87,100,1.32,ID,1704701179
63,launceston,-41.45,147.1667,64.8,67,100,17.27,AU,1704701347
64,gunjur,13.2019,-16.7339,62.67,67,0,0.0,GM,1704701457
65,guarapari,-20.6667,-40.4975,74.89,88,71,6.13,BR,1704701457
66,tidjikja,18.5564,-11.4271,63.97,16,0,12.01,MR,1704701459
67,papatowai,-46.5619,169.4708,58.46,74,92,5.82,NZ,1704701459
68,kayangel,8.0823,134.7173,83.84,76,100,17.36,PW,1704701460
69,playa del ingles,27.7567,-15.5787,62.35,88,100,2.84,ES,1704701461
70,ust-nera,64.5667,143.2,-46.86,98,88,3.91,RU,1704701463
71,pisco,-13.7,-76.2167,69.85,88,100,4.61,PE,1704701464
72,dryden,49.7833,-92.7503,-3.71,84,0,3.44,CA,1704701465
73,geraldton,-28.7667,114.6,82.81,61,0,23.02,AU,1704701465
74,san patricio,28.017,-97.5169,69.84,78,86,25.99,US,1704701467
75,buritizeiro,-17.3511,-44.9622,70.79,97,100,2.95,BR,1704701248
76,cabo san lucas,22.8909,-109.9124,66.76,63,48,12.8,MX,1704701469
77,talnakh,69.4865,88.3972,-7.92,97,100,10.54,RU,1704701470
78,margaret river,-33.95,115.0667,72.27,65,84,17.74,AU,1704701434
79,zapolyarnyy,69.4154,30.8136,20.48,94,100,4.47,RU,1704701472
80,batamshinskiy,50.5594,58.2747,-3.41,90,5,16.22,KZ,1704701271
81,bilibino,68.0546,166.4372,-21.17,99,100,2.51,RU,1704701473
82,marang,5.2056,103.2059,80.42,85,66,10.92,MY,1704701474
83,akashi,34.6333,134.9833,44.64,52,54,3.65,JP,1704701372
84,chestertown,39.209,-76.0666,41.14,77,7,13.65,US,1704701475
85,pacasmayo,-7.4006,-79.5714,72.12,79,79,6.85,PE,1704701476
86,gadzhiyevo,69.2551,33.3362,23.25,74,100,16.42,RU,1704701477
87,la passe,45.5549,-0.8967,38.01,83,100,11.39,FR,1704701478
88,west island,-12.1568,96.8225,84.18,79,75,13.8,CC,1704701479
89,azul,-36.777,-59.8585,59.23,93,1,4.34,AR,1704701479
90,tuy hoa,13.0833,109.3,76.42,78,99,9.37,VN,1704701458
91,el calafate,-50.3408,-72.2768,42.78,62,77,9.69,AR,1704701480
92,coquimbo,-29.9533,-71.3436,65.03,77,0,4.47,CL,1704701481
93,san antonio de pale,-1.4014,5.6325,81.9,76,100,10.58,GQ,1704701482
94,ciudad lazaro cardenas,17.9583,-102.2,73.4,81,58,4.68,MX,1704701483
95,olonkinbyen,70.9221,-8.7187,35.31,94,100,22.73,SJ,1704701483
96,undurkhaan,47.3194,110.6556,5.85,86,4,3.0,MN,1704701484
97,hasaki,35.7333,140.8333,43.29,27,1,8.32,JP,1704701426
98,mata-utu,-13.2816,-176.1745,83.39,75,100,4.52,WF,1704701486
99,el granada,37.5027,-122.4694,49.28,75,0,9.22,US,1704701487
100,pandan,14.0453,124.1694,79.11,88,98,14.67,PH,1704701487
101,menaka,15.9182,2.4022,74.91,13,16,10.13,ML,1704701489
102,lan sak,15.4529,99.5761,92.26,34,2,5.75,TH,1704701489
103,shenjiamen,29.9576,122.298,49.95,74,100,9.82,CN,1704701490
104,batangafo,7.3008,18.2833,84.09,13,96,4.05,CF,1704701491
105,polovinnoye,54.7914,65.9864,-1.44,92,100,18.37,RU,1704701492
106,port elizabeth,-33.918,25.5701,67.1,91,100,4.0,ZA,1704701493
107,elizabeth city,36.2946,-76.2511,39.22,76,0,6.91,US,1704701494
108,vorkuta,67.5,64.0,-16.83,100,100,4.0,RU,1704701496
109,jamestown,42.097,-79.2353,34.56,94,100,10.36,US,1704701496
110,quiberon,47.4841,-3.1196,37.2,82,17,13.0,FR,1704701497
111,new plymouth,-39.0667,174.0833,66.81,74,0,4.27,NZ,1704701356
112,laguna,38.421,-121.4238,44.89,83,0,6.91,US,1704701499
113,kalmunai,7.4167,81.8167,80.8,82,100,9.13,LK,1704701499
114,saipan,15.1355,145.701,81.3,83,40,8.05,MP,1704701256
115,klyuchi,52.2667,79.1667,34.81,98,100,21.81,RU,1704701501
116,balqash,46.8481,74.995,34.39,100,100,24.61,KZ,1704701502
117,khandyga,62.6667,135.6,-52.64,100,97,1.9,RU,1704701502
118,shakawe,-18.3667,21.85,83.66,51,91,4.79,BW,1704701504
119,yuzhno-kurilsk,44.0306,145.8556,29.37,79,38,15.01,RU,1704701505
120,lucapa,-8.4192,20.7447,74.01,79,95,4.45,AO,1704701505
121,dul'durga,50.6761,113.5931,9.19,79,6,9.28,RU,1704701506
122,araguaina,-7.1911,-48.2072,73.85,95,100,3.76,BR,1704701507
123,dongsheng,39.8161,109.9776,24.57,67,100,7.11,CN,1704701507
124,kuqa,41.7278,82.9364,36.61,35,50,2.15,CN,1704701508
125,kodiak,57.79,-152.4072,31.51,80,0,0.0,US,1704701509
126,hermanus,-34.4187,19.2345,68.9,59,8,11.16,ZA,1704701509
127,alaghsas,17.0187,8.0168,73.08,13,99,8.41,NE,1704701475
128,stanley,54.868,-1.6985,36.77,96,75,1.14,GB,1704701511
129,tura,25.5198,90.2201,73.67,40,0,6.4,IN,1704701269
130,bredasdorp,-34.5322,20.0403,70.79,52,7,10.09,ZA,1704701512
131,udachny,66.4167,112.4,-22.77,100,99,5.57,RU,1704701514
132,kimbe,-5.5502,150.1429,81.82,86,100,2.28,PG,1704701343
133,loukhi,66.0764,33.0381,20.17,79,13,14.29,RU,1704701515
134,thompson,55.7435,-97.8558,-29.04,75,0,2.3,CA,1704701516
135,afaahiti,-17.75,-149.2833,76.87,85,31,13.67,PF,1704701517
136,behbahan,30.5959,50.2417,67.41,19,0,2.21,IR,1704701517
137,mount isa,-20.7333,139.5,89.37,51,100,9.22,AU,1704701518
138,prattville,32.464,-86.4597,36.79,88,0,5.75,US,1704701519
139,bijie,27.3125,105.2942,51.57,68,89,6.33,CN,1704701519
140,utrik,11.2278,169.8474,80.53,68,100,19.46,MH,1704701520
141,peace river,56.2501,-117.286,-2.34,94,40,5.75,CA,1704701521
142,gamay,12.3854,125.2979,80.29,88,52,9.86,PH,1704701523
143,sao felix do xingu,-6.6447,-51.995,72.36,99,100,1.59,BR,1704701523
144,chacabuco,-34.6417,-60.4739,61.21,93,0,2.93,AR,1704701524
145,mudu,31.252,120.5118,50.72,53,86,6.58,CN,1704701525
146,castillos,-34.1667,-53.8333,66.31,96,89,1.21,UY,1704701525
147,timbuktu,16.7735,-3.0074,70.07,14,0,8.95,ML,1704701526
148,touros,-5.1989,-35.4608,78.17,80,6,6.15,BR,1704701528
149,fale old settlement,-9.3852,-171.2468,84.06,69,26,4.76,TK,1704701529
150,kedrovyy,56.1667,91.8167,0.01,86,100,6.91,RU,1704701529
151,ancud,-41.8697,-73.8203,47.14,82,2,5.48,CL,1704701530
152,wanning,18.8003,110.3967,75.78,73,79,6.08,CN,1704701531
153,lospalos,-8.5186,127.0025,85.33,60,100,1.83,TL,1704701531
154,kuldiga,56.974,21.9572,9.16,70,8,3.18,LV,1704701532
155,weno,7.4515,151.8468,82.26,71,65,22.79,FM,1704701533
156,nova sintra,14.8667,-24.7167,70.61,64,88,18.05,CV,1704701533
157,alofi,-19.0595,-169.9187,80.69,83,76,8.05,NU,1704701534
158,los llanos de aridane,28.6585,-17.9182,60.55,90,75,7.0,ES,1704701333
159,biysk,52.5364,85.2072,30.11,93,100,4.65,RU,1704701535
160,awjilah,29.1081,21.2869,59.04,22,79,6.55,LY,1704701536
161,nizhneudinsk,54.9076,99.0276,13.42,90,55,5.46,RU,1704701537
162,sinabang,2.4803,96.3801,85.08,70,26,4.5,ID,1704701537
163,alindao,5.0267,21.2088,85.12,18,74,6.04,CF,1704701538
164,kutum,14.2,24.6667,66.56,22,3,9.89,SD,1704701540
165,nalut,30.3333,10.85,46.92,42,1,8.25,LY,1704701540
166,menongue,-14.6585,17.691,68.11,83,100,3.71,AO,1704701541
167,nadym,65.5333,72.5167,-1.17,97,100,8.79,RU,1704701543
168,arkhangel'sk,64.5401,40.5433,14.11,92,75,8.95,RU,1704701544
169,kuta,-8.7233,115.1723,86.0,79,75,9.22,ID,1704701545
170,usogorsk,63.4106,48.6872,4.66,97,100,8.48,RU,1704701546
171,tiksi,71.6872,128.8694,-29.49,96,48,8.03,RU,1704701547
172,aykhal,66.0,111.5,-25.69,100,93,5.7,RU,1704701548
